date,close,ma200,dev,z_score,prob
2018-06-21,34.21,,,,
2018-06-22,33.32,,,,
2018-06-25,38.1,,,,
2018-06-26,36.54,,,,
2018-06-27,38.5,,,,
2018-06-28,39.2,,,,
2018-06-29,36.92,,,,
2018-07-02,37.74,,,,
2018-07-03,37.74,,,,
2018-07-05,36.16,,,,
2018-07-06,34.365,,,,
2018-07-09,32.48,,,,
2018-07-10,31.79,,,,
2018-07-11,32.84,,,,
2018-07-12,32.0,,,,
2018-07-13,31.729,,,,
2018-07-16,31.24,,,,
2018-07-17,30.72,,,,
2018-07-18,30.56,,,,
2018-07-19,31.2,,,,
2018-07-20,31.267,,,,
2018-07-23,31.56,,,,
2018-07-24,30.74,,,,
2018-07-25,30.46,,,,
2018-07-26,30.54,,,,
2018-07-27,31.54,,,,
2018-07-30,32.13,,,,
2018-07-31,31.38,,,,
2018-08-01,31.0,,,,
2018-08-02,30.68,,,,
2018-08-03,30.14,,,,
2018-08-06,29.268,,,,
2018-08-07,28.56,,,,
2018-08-08,28.031999999999996,,,,
2018-08-09,28.53,,,,
2018-08-10,29.96,,,,
2018-08-13,31.7,,,,
2018-08-14,30.1,,,,
2018-08-15,31.98,,,,
2018-08-16,30.23,,,,
2018-08-17,29.49,,,,
2018-08-20,28.88,,,,
2018-08-21,29.46,,,,
2018-08-22,28.95,,,,
2018-08-23,29.03,,,,
2018-08-24,28.86,,,,
2018-08-27,28.9,,,,
2018-08-28,28.93,,,,
2018-08-29,28.65,,,,
2018-08-30,29.51,,,,
2018-08-31,29.69,,,,
2018-09-04,29.28,,,,
2018-09-05,29.46,,,,
2018-09-06,30.36,,,,
2018-09-07,30.81,,,,
2018-09-10,29.98,,,,
2018-09-11,29.1,,,,
2018-09-12,28.72,,,,
2018-09-13,27.94,,,,
2018-09-14,27.35,,,,
2018-09-17,28.2,,,,
2018-09-18,28.05,,,,
2018-09-19,27.08,,,,
2018-09-20,26.64,,,,
2018-09-21,26.566,,,,
2018-09-24,26.67,,,,
2018-09-25,26.92,,,,
2018-09-26,27.0,,,,
2018-09-27,26.74,,,,
2018-09-28,26.7,,,,
2018-10-01,26.4,,,,
2018-10-02,26.4,,,,
2018-10-03,26.2,,,,
2018-10-04,27.8,,,,
2018-10-05,28.24,,,,
2018-10-08,28.64,,,,
2018-10-09,29.08,,,,
2018-10-10,33.95,,,,
2018-10-11,36.86,,,,
2018-10-12,34.07,,,,
2018-10-15,34.27,,,,
2018-10-16,32.08,,,,
2018-10-17,32.46,,,,
2018-10-18,34.85,,,,
2018-10-19,34.27,,,,
2018-10-22,34.58,,,,
2018-10-23,35.89,,,,
2018-10-24,38.66,,,,
2018-10-25,37.86,,,,
2018-10-26,39.99,,,,
2018-10-29,40.34,,,,
2018-10-30,38.81,,,,
2018-10-31,37.58,,,,
2018-11-01,36.37,,,,
2018-11-02,36.66,,,,
2018-11-05,36.31,,,,
2018-11-06,35.08,,,,
2018-11-07,32.65,36.067425,-0.09954524767879444,,
2018-11-08,32.5,36.091625,-0.10482075462843218,,
2018-11-09,33.233000000000004,36.11949,-0.08328925068866262,,
2018-11-12,36.06,36.15189,-0.0025450116206144095,,
2018-11-13,36.33,36.18079,0.0041155312362433855,,
2018-11-14,37.27,36.213890000000006,0.02874596659663894,,
2018-11-15,36.88,36.25275500000001,0.017154020275562946,,
2018-11-16,35.19,36.264455000000005,-0.030076109104790073,,
2018-11-19,37.25,36.231405,0.027725660653947045,,
2018-11-20,39.33,36.212480000000006,0.08258377564387967,,
2018-11-21,38.41,36.181830000000005,0.059760783238633604,,
2018-11-23,38.74,36.099630000000005,0.07059004200001821,,
2018-11-26,36.55,36.03098000000001,0.01430206224976103,,
2018-11-27,35.9,35.96773,-0.0018848520762197885,,
2018-11-28,34.84,35.90208,-0.030029080550211255,,
2018-11-29,35.47,35.86703000000001,-0.011131220334259078,,
2018-11-30,34.47,35.831880000000005,-0.03874861940879549,,
2018-12-03,32.6,35.78428000000001,-0.09319640245340677,,
2018-12-04,36.84,35.749280000000006,0.03005408231003902,,
2018-12-06,37.79,35.71573000000001,0.05645330937213903,,
2018-12-07,40.32,35.69773000000001,0.12176052243333267,,
2018-12-10,39.93,35.69493000000001,0.11211925918160055,,
2018-12-11,39.937,35.69821500000001,0.11220252496201578,,
2018-12-12,39.62,35.68426500000001,0.10462420594894206,,
2018-12-13,39.01,35.65851500000001,0.08983005524848947,,
2018-12-14,40.6,35.625515000000014,0.13070597198301004,,
2018-12-17,42.59,35.61286500000001,0.17891253495336873,,
2018-12-18,42.79,35.609515000000016,0.18369155300151604,,
2018-12-19,42.64,35.60426500000002,0.18032734580466792,,
2018-12-20,44.81,35.61311500000002,0.22971735990586642,,
2018-12-21,47.07,35.63551500000002,0.278293102480021,,
2018-12-24,49.43,35.69141500000002,0.32564734364278564,,
2018-12-26,46.81,35.72666500000002,0.27019952656387985,,
2018-12-27,48.79,35.767065000000024,0.31049787592215,,
2018-12-28,48.71,35.80261500000002,0.30786341238669246,,
2018-12-31,46.99,35.83536500000002,0.27099955814794996,,
2019-01-02,45.74,35.86756500000002,0.24313978338031625,,
2019-01-03,47.64,35.88891500000002,0.2832442710467467,,
2019-01-04,43.86,35.89551500000002,0.20039038566207312,,
2019-01-07,42.88,35.90496500000002,0.17752992999533718,,
2019-01-08,42.01,35.879015000000024,0.15775510098736864,,
2019-01-09,41.02,35.834115000000025,0.13515938002905853,,
2019-01-10,40.59,35.80556500000002,0.12541840259739861,,
2019-01-11,39.27,35.753015000000026,0.09382626734161743,,
2019-01-14,39.38,35.699440000000024,0.09812307082292622,,
2019-01-15,37.67,35.642790000000026,0.05531713933699839,,
2019-01-16,38.43,35.575740000000025,0.07717445969279116,,
2019-01-17,38.0,35.51764000000003,0.06755668525118753,,
2019-01-18,37.06,35.45954000000003,0.04414589265851911,,
2019-01-22,40.32,35.42429000000003,0.12944988073019678,,
2019-01-23,40.1,35.37579000000003,0.12534864644300273,,
2019-01-24,38.68,35.32019000000003,0.09086791547535382,,
2019-01-25,37.23,35.25734000000003,0.05444115335221484,,
2019-01-28,38.77,35.20219000000003,0.09653845510502401,,
2019-01-29,38.66,35.15504000000003,0.09503748031147306,,
2019-01-30,36.96,35.10994000000003,0.051351965509440906,,
2019-01-31,35.43,35.06884000000003,0.010245931976074712,,
2019-02-01,35.09,35.04279000000003,0.0013463034090266215,,
2019-02-04,34.0,35.00999000000003,-0.02927292471769665,,
2019-02-05,33.71,34.973690000000026,-0.0368015352788757,,
2019-02-06,33.53,34.93079000000003,-0.040928114746746624,,
2019-02-07,34.65,34.89604000000003,-0.007075630085886872,,
2019-02-08,34.23,34.85924000000002,-0.01821578582044465,,
2019-02-11,33.86,34.80579000000002,-0.02754937554628251,,
2019-02-12,33.25,34.75974000000002,-0.044405053405444206,,
2019-02-13,33.17,34.718465000000016,-0.04562582502636822,,
2019-02-14,33.77,34.68221500000002,-0.026654185140798307,,
2019-02-15,32.59,34.63336500000002,-0.06081203092789645,,
2019-02-19,32.69,34.59801500000002,-0.056727089739645346,,
2019-02-20,31.38,34.53991500000002,-0.09594486449573736,,
2019-02-21,31.79,34.497365000000016,-0.08173116938615187,,
2019-02-22,30.59,34.451565000000016,-0.11888126642177746,,
2019-02-25,31.14,34.40851500000002,-0.09981089641300282,,
2019-02-26,31.4,34.37156500000002,-0.09042173080673846,,
2019-02-27,31.43,34.34516500000002,-0.08869840103757932,,
2019-02-28,31.41,34.32306500000002,-0.08869126360842307,,
2019-03-01,29.98,34.29906500000002,-0.1345876016506783,,
2019-03-04,30.71,34.26611500000002,-0.10956863054884089,,
2019-03-05,30.89,34.24024000000002,-0.10296905366428072,,
2019-03-06,31.8,34.22339000000002,-0.07344303864565882,,
2019-03-07,33.01,34.21134000000002,-0.03574662219067647,,
2019-03-08,33.23,34.20749000000002,-0.028991543571730585,,
2019-03-11,30.81,34.190330000000024,-0.1041035429410675,,
2019-03-12,29.94,34.17013000000002,-0.132156491635359,,
2019-03-13,29.62,34.14733000000002,-0.14223458964034677,,
2019-03-14,29.13,34.12388000000002,-0.15822886148235593,,
2019-03-15,28.59,34.074730000000024,-0.17549904751925835,,
2019-03-18,28.66,34.03523000000002,-0.1718937422264317,,
2019-03-19,28.85,33.99478000000002,-0.1640969904634421,,
2019-03-20,29.16,33.964930000000024,-0.15253061455559433,,
2019-03-21,28.78,33.93318000000002,-0.1647125953148352,,
2019-03-22,32.08,33.92348000000002,-0.055874617002572444,,
2019-03-25,32.24,33.92248000000002,-0.050870003820182176,,
2019-03-26,30.42,33.91048000000002,-0.10862382432270305,,
2019-03-27,30.88,33.90273000000002,-0.09338681696083637,,
2019-03-28,30.19,33.89328000000002,-0.11570602092898115,,
2019-03-29,29.26,33.87968000000002,-0.1465940290469165,,
2019-04-01,28.74,33.86268000000002,-0.16402364236082542,,
2019-04-02,28.66,33.849620000000016,-0.16642535089820085,,
2019-04-03,28.86,33.83582000000002,-0.1590634513041423,-1.3579123012820833,0.08724575678470814
2019-04-04,28.57,33.82243000000002,-0.16876697562234932,-1.4190829195896748,0.07793742147923056
2019-04-05,28.0,33.79823500000002,-0.18820407201540246,-1.5504044284900564,0.06052223815370266
2019-04-08,27.87,33.777135000000015,-0.1922332527898175,-1.5577820120933297,0.05964246574588186
2019-04-09,28.86,33.750385000000016,-0.15653527131515796,-1.264585150271509,0.10301003951716903
2019-04-10,28.05,33.724035000000015,-0.18422215592774127,-1.4434155090135588,0.07445172890387865
2019-04-11,27.5,33.67103500000002,-0.20245196755874792,-1.543128576441463,0.06139979122791973
2019-04-12,26.26,33.61963500000002,-0.24706340241392963,-1.820614833289866,0.034332713212749284
2019-04-15,25.92,33.55673500000002,-0.2582227169434874,-1.8521803562102712,0.03199996429633663
2019-04-16,25.71,33.48928500000002,-0.2643455156437945,-1.8425059830039436,0.03270058608710344
2019-04-17,25.89,33.43413500000002,-0.2557205903146678,-1.7343855509669244,0.041424848528161834
2019-04-18,25.48,33.372835000000016,-0.26984841499851475,-1.7812861428448186,0.03743285854430164
2019-04-22,25.25,33.31038500000002,-0.27704305450808925,-1.779640703780424,0.03756739016193492
2019-04-23,25.05,33.25483500000002,-0.28332634253330147,-1.7728824039030124,0.03812409748767904
2019-04-24,25.7,33.21151000000002,-0.256405510686293,-1.5593624899505785,0.05945530452179418
2019-04-25,26.2,33.18011000000002,-0.23619118923990318,-1.40046304887408,0.0806873505696033
2019-04-26,25.29,33.14761000000002,-0.2705615568199986,-1.5841861694980566,0.05657567984067137
2019-04-29,25.68,33.11181000000002,-0.254177537507218,-1.450744405670231,0.0734255227112312
2019-04-30,25.68,33.08021000000002,-0.2532227395602555,-1.421236688727408,0.07762398102535717
2019-05-01,26.65,33.05481500000002,-0.21537809342530864,-1.1630752376815097,0.12239948891625102
2019-05-02,26.69,33.03206500000002,-0.21318979295423152,-1.1270503424026168,0.12986059840854935
2019-05-03,25.42,33.00556500000002,-0.26113991785129587,-1.390763669029391,0.08214855172681618
2019-05-06,26.86,32.987065000000015,-0.20547732383421785,-1.0294390311331323,0.15163670794142708
2019-05-07,31.33,32.987715000000016,-0.05155911446441373,-0.07949246260581024,0.4683204633058874
2019-05-08,30.71,32.98493000000002,-0.07146245604310493,-0.19151278053301832,0.4240619342188835
2019-05-09,30.55,32.979880000000016,-0.07653299293839977,-0.2131431047113439,0.41560767216346584
2019-05-10,28.19,32.96713000000002,-0.15654369933637774,-0.69195409380012,0.2444830791521515
2019-05-13,32.45,32.977080000000015,-0.0161123315534023,0.19235926273287876,0.5762695999551044
2019-05-14,30.65,32.97763000000001,-0.07319679043267027,-0.15040749669448827,0.4402215635235693
2019-05-15,29.36,32.96673000000001,-0.11586566734485397,-0.40561697910744193,0.34251202564334227
2019-05-16,28.1,32.94658000000001,-0.15911788559517814,-0.6667657638511831,0.25246088219469165
2019-05-17,28.52,32.93228000000001,-0.1438477362224568,-0.5529946863932214,0.29013352434304096
2019-05-20,28.94,32.92198000000001,-0.1289157986048644,-0.4382923403181398,0.3305871888810236
2019-05-21,27.48,32.90598000000001,-0.18019593681823312,-0.7781719457918492,0.21823382658260887
2019-05-22,27.22,32.891380000000005,-0.18925862013938985,-0.8348811567298257,0.20189231263375185
2019-05-23,29.02,32.89014000000001,-0.12518766934881703,-0.3510375529984156,0.36278008783024535
2019-05-24,28.42,32.88944000000001,-0.14605851093525044,-0.4950876805768955,0.31026911475217855
2019-05-28,29.27,32.89563000000001,-0.116776721497558,-0.24505590821504092,0.40320657113476077
2019-05-29,29.84,32.902180000000016,-0.09768914163875338,-0.06181050032098833,0.47535687071580784
